brand,discount,mall,new_price,number_reviews,price,product,shop,tag
HP,,Non-Mall,"₫13,590,000",No Ratings,,[Cực Phẩm] Laptop HP EliteBook X360 1030 G2 Core i5 7200U/ Ram 8Gb/ Màn hình IPS 13.3 icnh cảm ứng lật xoay 360 .,Việt Thanh OneShop,Traditional Laptops
Samsung,-26%,Non-Mall,"₫3,699,000",No Ratings,"₫4,990,000","Laptop mini Hp , Asus , Acer , Dell , Lenovo , tổng hợp ,  Hơn 1 Triệu ship cod toàn việt Nam",Ntech Electronic,Traditional Laptops
HP,-14%,Mall,"₫14,590,000",No Ratings,"₫16,990,000",[VOUCHER 1 TRIỆU]Laptop HP Pavilion 15-eg0513TU (46M12PA) i3-1125G4 | 4GB | 256GB | Intel UHD Graphics | 15.6' FHD | Win 10,HCH HP,Traditional Laptops
Fujitsu,,Non-Mall,"₫5,250,000",No Ratings,,Laptop Nhật Bản FUJITSU Lifebook S904 Core i5-4200U 13.3inch Full HD vỏ nhôm siêu nhẹ 1.1kg,máy tính trung nguyễn,Traditional Laptops
Thinkpad,,Non-Mall,"₫9,500,000",No Ratings,,ThinkPad T470 Core i7-7600u l i5-7300u l Ram 8G l SSD 256G l Màn 14' FHD [BẢO HÀNH 3 - 12 THÁNG] Hàng Chuẩn Mới 99%,Kho Macbook,Traditional Laptops
Dell,-13%,Non-Mall,"₫16,790,000",No Ratings,"₫19,200,000",[Mới 100%] Laptop Dell Inspiron 3515 Ryzen R5-3500U/ Ram 8GB/ SSD 256GB/ MÀN 15.6 FHD IPS Silver,LAPTOPGAME,Traditional Laptops
Lenovo,,Non-Mall,"₫2,968,000",No Ratings,,Laptop 2 trong 1 Lenovo Miix 2 10 inch WIN 8.1 - SSD 64G Kèm phím zin,TheLinhStore,2-in-1s
Toshiba,,Non-Mall,"₫3,488,000",1 Ratings,,Laptop Toshiba Portege R731 siêu mỏng nhẹ - i5 2520 Ram 4G SSD 128G,TheLinhStore,Traditional Laptops
Dell,,Non-Mall,"₫15,890,000",No Ratings,,[Siêu Phẩm - Sang Choảnh] Laptop Dell inspiron 7580 Core i5 8365U/ Ram 16Gb/ Card đồ họa rời Nvidia MX150 mạnh mẽ .,Việt Thanh OneShop,Traditional Laptops
Dell,-12%,Non-Mall,"₫17,700,000",No Ratings,"₫20,000,000","(NEW 100%) Dell Inspiron 3501, Cảm Ứng, i5-1035G1, RAM 12G, SSD 256G, Intel UHD Graphics, Màn 15.6 Full HD",LaptopLC298,Traditional Laptops
Laptop HP,,Non-Mall,"₫6,880,000",No Ratings,,"Llaptop nhập nguyên chiếc từ Úc]HP Elitebook 8470P/I7/8GB/128GB 95%, máy nguyên bản bao mượt",Mtbstore,Traditional Laptops
ASUS,,Mall,"₫7,990,000",10 Ratings,,Laptop ASUS E210KA-GJ031T (N4500/4GB RAM/128GB SSD/11.6-inch HD/WIN10),ASUS Flagship Store,Traditional Laptops
HP,,Mall,"₫17,590,000",No Ratings,,Laptop HP 240 G8 (518W3PA) i5-1135G7 | 4GB RAM | 512GB SSD | 14 FHD | Win 10 | Bạc,HP Authorized Store 1D,Traditional Laptops
Dell,,Non-Mall,"₫1,289,981",No Ratings,,Laptop giá rẻ. Laptop cũ. laptop DELL Vostro 1400,NamThanhShopTH,Traditional Laptops
ASUS,,Non-Mall,"₫7,990,000",No Ratings,,Laptop Asus X507/ N5000/ 4G/ SSD128 -500G/ 15in/ Viền Mỏng/ Win 10/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
ASUS,-3%,Non-Mall,"₫41,590,000",No Ratings,"₫42,990,000",Laptop ASUS ROG Strix G15 G513QM-HQ283T (R9-5900HX | 16GB | 512GB | GeForce RTX™ 3060 6GB | 15.6' WQHD 165Hz | Win 10),Hangchinhhieu Store,Gaming Laptops
Dell,-25%,Non-Mall,"₫20,590,000",No Ratings,"₫27,287,000","[Freeship] Laptop Dell Inspiron 15 3505 15.6inch FHD (Y1N1T5)/ Đen/ AMD Ryzen 5 - 3500U/ RAM 8GB DDR4/ 512GB SSD/ 3Cell/ Win 10/ 1Yr -AI Tech Store- AI96 Hàng Chính Hãng, Cấu Hình Ổn Định Dùng Cho Văn Phòng, Thiết Kế Đồ Họa, Gaming",AI Tech Store,Traditional Laptops
Lenovo,-13%,Non-Mall,"₫13,100,000",No Ratings,"₫15,000,000","Lenovo Thinkpad X1 Carbon Gen4, Mỏng Nhẹ, Màn Siêu Nét, Bảo Mật Vân Tay, i5-6300U, RAM 8G, SSD 256G, VGA Intel HD 520, Màn 14 QHD 2.5K IPS",Chuyên laptop gaming- đồ hoạ - văn phòng,Traditional Laptops
Dell E7440,-16%,Non-Mall,"₫6,299,000",No Ratings,"₫7,500,000",Laptop dell 7240 i5 ram 8gb ssd 128gb chơi game và học tập thỏa thích good 100% zin all,Ntech Electronic,2-in-1s
Dell,,Non-Mall,"₫5,500,000",No Ratings,,Laptop Dell Latitude E6320/ i5 2520M/ 4 - 16G/ SSD128 - 500G/ 13.3in/ Win 10/ Giá rẻ,Minh Mẫn Laptop,Traditional Laptops
Dell,,Non-Mall,"₫9,890,000",No Ratings,,[Mạnh mẽ - Bền Bỉ] Dell inspiron 5558 Core i5 5200/ Ram 8Gb/ SSD 256Gb/ Màn hình 15.6 inch .,Việt Thanh OneShop,Traditional Laptops
HP,,Non-Mall,"₫13,500,000",No Ratings,,Laptop HP Elitebook 840 G3/ i7 6600U/ Ram 8G/ SSD 256G/ Phiên Bản Giới Hạn/ Cảm ứng Như IPAD/ Đỉnh cao doanh nhân,Minh Mẫn Laptop,2-in-1s
Lenovo,,Non-Mall,"₫15,890,000",No Ratings,,Lenovo IdeaPad 5 14IIL05 i5-1035G1/ RAM 8GB / SSD 256GB / Intel UHD Graphics/ 14 inch,No.1 Computer,Traditional Laptops
Samsung,-26%,Non-Mall,"₫3,699,000",No Ratings,"₫4,990,000","Laptop mini Hp , Asus , Acer , Dell , Lenovo , tổng hợp ,  Hơn 1 Triệu ship cod toàn việt Nam",Ntech Electronic,Traditional Laptops
ASUS,-15%,Non-Mall,"₫18,623,000",No Ratings,"₫21,990,000",Laptop Asus TUF Gaming FX506LH-HN002T (i5-10300H) (Xám) - Laptop cũ,PHONG VU Outlet Store,Gaming Laptops
Lenovo,-21%,Non-Mall,"₫15,190,000",No Ratings,"₫19,350,000","[Freeship] Laptop Lenovo Ideapad Slim 3 14ITL6 (82H700DNVN)/ Grey/ Intel Core i3-1115G4 (up to 4.10 Ghz, 6 MB)/ RAM 8GB DDR4/ 512GB SSD/ Intel UHD Graphics/ 14 inch FHD/ 2 Cell/ Win 10H/ 2 Yrs -AI Tech Store- AI142 Hàng Chính Hãng",AI Tech Store,Traditional Laptops
Laptop,-28%,Non-Mall,"₫5,299,000",13 Ratings,"₫7,399,000",[Trả góp 0%]Laptop Asus E402 N3050/2GB/500GB thiết kế nhỏ gọn phù hợp giải trí lướt web 2018 - Bảo hành 12 tháng,Siêu Thị Điện tử Nhập Khẩu Ntech,Gaming Laptops
HP,,Non-Mall,"₫13,990,000",No Ratings,,"[Xịn Xò & Sang Trọng] Laptop HP Probook 430 G6 Core i5 8265U/ Ram 8Gb/ SSD 512Gb/ màn hình tràn viền, vân tay 1 chạm .",Việt Thanh OneShop,Traditional Laptops
Dell,-31%,Non-Mall,"₫5,490,000",1 Ratings,"₫7,999,000",Laptop Dell Latitude E6520 core i5 RAM 8G HDD 1TB Vga HD Màn 15.6 - Tặng Túi + chuột không Dây,Laptop 86,Traditional Laptops
Dell,-13%,Non-Mall,"₫16,790,000",No Ratings,"₫19,200,000",[Mới 100%] Laptop Dell Inspiron 3515 Ryzen R5-3500U/ Ram 8GB/ SSD 256GB/ MÀN 15.6 FHD IPS Silver,LAPTOPGAME,Traditional Laptops
No Brand,,Non-Mall,"₫1,500,000",7 Ratings,,laptop core 2 giá rẻ phục vụ học online văn phòng giải trí...,h2luan LPC,Traditional Laptops
Dell,-2%,Non-Mall,"₫26,500,000",No Ratings,"₫27,000,000",Alenware 17R4 core i7 7820HK ram 16gb SSD 256gbhdd 1tb GTX 1070 8GB 17 inch giá rẻ nguyên zin,Cuong Phat Computer,Traditional Laptops
Dell,-25%,Non-Mall,"₫15,490,000",No Ratings,"₫20,780,000","[Freeship] Laptop Dell Vostro 3500 (V5I3001W)/ Black/ Intel Core i3-1115G4 (up to 4.10 Ghz, 6MB)/ RAM 8GB DDR4/ 256GB SSD/ Intel UHD Graphics/ 15.6 inch FHD/ 3 Cell 42 Whr/ Win 10/ 1 Yr Pro Support -AI Tech Store- AI138 Hàng Chính Hãng",AI Tech Store,Traditional Laptops
HP,-13%,Mall,"₫15,690,000",No Ratings,"₫17,990,000",[VOUCHER 1 TRIỆU]Laptop HP Pavilion 15-eg0541TU (4P5G8PA) i3-1125G4 | 4GB | 512GB | Intel UHD Graphics | 15.6' FHD | Win 11,HCH HP,Traditional Laptops
HP,-5%,Non-Mall,"₫24,700,000",No Ratings,"₫26,000,000","(NEW 100%) HP Victus 16 2021, i5-11400H, RAM 8G, SSD 256G, VGA RTX 3050-4G, Màn 16.1 FullHD IPS, 144Hz, 100% sRGB",LaptopLC298,Traditional Laptops
Dell,-16%,Non-Mall,"₫13,490,000",2 Ratings,"₫16,000,000","[Mới 100% New Seal] Dell Inspiron 15 3511 ( Core i3-1115G4, i5-1135G7 , Ram 4G, ssd 128G, Màn 15.6 FHD IPS )",LAPTOPGAME,Traditional Laptops
Dell,-2%,Non-Mall,"₫19,000,000",No Ratings,"₫19,400,000","[Mới 100%] Dell Inspiron 15 5505 ( Ryzen R5-4500U, RAM 16G, SSD 512G, VGA AMD Vega 6, màn 15.6 Full HD, IPS)",Thế Giới Số 365,Traditional Laptops
